label,phase,packet_bytes,tap,kind,cycles,xfer_cycles,stall_cycles,starved_cycles,idle_cycles,accept_rate,service_period_cycles,beats_per_cycle,bytes_per_cycle,stall_frac,starve_frac,dominant_state
shared-80mhz-probed,b2b-256,256,decrypt/chacha20.from_pipeline,handshake,882,20,6,822,34,0.7692307692307693,1.3,0.022675736961451247,,0.006802721088435374,0.9319727891156463,
shared-80mhz-probed,b2b-256,256,decrypt/chacha20.in_state,state,882,,,,,,,,,,,PLAINTEXT
shared-80mhz-probed,b2b-256,256,decrypt/chacha20.key_out,handshake,882,4,0,414,464,1.0,1.0,0.0045351473922902496,,0.0,0.46938775510204084,
shared-80mhz-probed,b2b-256,256,decrypt/chacha20.out_state,state,882,,,,,,,,,,,PLAINTEXT
shared-80mhz-probed,b2b-256,256,decrypt/chacha20.to_pipeline,handshake,882,20,15,421,426,0.5714285714285714,1.75,0.022675736961451247,,0.017006802721088437,0.47732426303854875,
shared-80mhz-probed,b2b-256,256,decrypt/poly1305.data_in,handshake,882,76,766,0,40,0.09026128266033254,11.078947368421053,0.08616780045351474,1.3786848072562359,0.8684807256235828,0.0,
shared-80mhz-probed,b2b-256,256,decrypt/poly1305.from_compute,handshake,882,76,0,806,0,1.0,1.0,0.08616780045351474,,0.0,0.9138321995464853,
shared-80mhz-probed,b2b-256,256,decrypt/poly1305.fsm,state,882,,,,,,,,,,,FINISH_ITER
shared-80mhz-probed,b2b-256,256,decrypt/poly1305.key_in,handshake,882,4,0,414,464,1.0,1.0,0.0045351473922902496,,0.0,0.46938775510204084,
shared-80mhz-probed,b2b-256,256,decrypt/poly1305.tag_out,handshake,882,4,0,48,830,1.0,1.0,0.0045351473922902496,,0.0,0.05442176870748299,
shared-80mhz-probed,b2b-256,256,decrypt/poly1305.to_compute,handshake,882,76,0,426,380,1.0,1.0,0.08616780045351474,,0.0,0.48299319727891155,
shared-80mhz-probed,b2b-256,256,decrypt/prep.axis_in,handshake,882,64,773,0,45,0.07646356033452807,13.078125,0.07256235827664399,1.1609977324263039,0.8764172335600907,0.0,
shared-80mhz-probed,b2b-256,256,decrypt/prep.axis_out,handshake,882,76,766,0,40,0.09026128266033254,11.078947368421053,0.08616780045351474,1.3786848072562359,0.8684807256235828,0.0,
shared-80mhz-probed,b2b-256,256,decrypt/prep.fsm,state,882,,,,,,,,,,,AAD_STATE
shared-80mhz-probed,b2b-256,256,decrypt/strip.axis_in,handshake,882,68,773,41,0,0.08085612366230678,12.367647058823529,0.07709750566893424,1.2335600907029478,0.8764172335600907,0.046485260770975055,
shared-80mhz-probed,b2b-256,256,decrypt/strip.axis_out,handshake,882,64,773,0,45,0.07646356033452807,13.078125,0.07256235827664399,1.1609977324263039,0.8764172335600907,0.0,
shared-80mhz-probed,b2b-256,256,decrypt/strip.tag_out,handshake,882,4,0,818,60,1.0,1.0,0.0045351473922902496,,0.0,0.927437641723356,
shared-80mhz-probed,b2b-256,256,decrypt/verify.auth_tag,handshake,882,4,0,818,60,1.0,1.0,0.0045351473922902496,,0.0,0.927437641723356,
shared-80mhz-probed,b2b-256,256,decrypt/verify.calc_tag,handshake,882,4,0,48,830,1.0,1.0,0.0045351473922902496,,0.0,0.05442176870748299,
shared-80mhz-probed,b2b-256,256,decrypt/verify.fsm,state,882,,,,,,,,,,,TAKE_AUTH_TAG
