label,phase,packet_bytes,direction,block,cycles,beats,bytes_per_cycle,ceiling_bytes_per_cycle,service_period_cycles,accept_rate,in_stall_frac,in_starve_frac,out_stall_frac,dominant_state
shared-80mhz-probed,b2b-256,256,encrypt,poly1305,882,76,1.3786848072562359,2.7889908256880735,5.7368421052631575,0.1743119266055046,0.40816326530612246,0.023809523809523808,0.0,FINISH_ITER
shared-80mhz-probed,b2b-256,256,encrypt,append_auth_tag,882,64,1.1609977324263039,16.0,1.0,1.0,0.0,0.8639455782312925,0.0,CIPHERTEXT
shared-80mhz-probed,b2b-256,256,decrypt,chacha20,882,64,1.1609977324263039,14.422535211267606,1.109375,0.9014084507042254,0.007936507936507936,0.8752834467120182,0.0,PLAINTEXT
shared-80mhz-probed,b2b-256,256,decrypt,prep_auth_data,882,64,1.1609977324263039,1.2234169653524491,13.078125,0.07646356033452807,0.8764172335600907,0.0,0.8684807256235828,AAD_STATE
shared-80mhz-probed,b2b-256,256,decrypt,poly1305,882,76,1.3786848072562359,1.4441805225653206,11.078947368421053,0.09026128266033254,0.8684807256235828,0.0,0.0,FINISH_ITER
shared-80mhz-probed,b2b-256,256,decrypt,strip_auth_tag,882,68,1.2335600907029478,1.2936979785969085,12.367647058823529,0.08085612366230678,0.8764172335600907,0.046485260770975055,0.8764172335600907,
shared-80mhz-probed,b2b-256,256,decrypt,wait_to_verify,882,64,1.1609977324263039,16.0,1.0,1.0,0.0,0.927437641723356,0.0,WAIT_TO_VERIFY_BIT
shared-80mhz-probed,b2b-256,256,decrypt,verify,882,4,,16.0,1.0,1.0,0.0,0.05442176870748299,0.0,TAKE_AUTH_TAG
shared-80mhz-probed,b2b-1024,1024,encrypt,chacha20,2293,256,1.7863061491495857,3.002932551319648,5.328125,0.187683284457478,0.48320976886175315,0.0008722197993894462,0.5678150894025294,PLAINTEXT
shared-80mhz-probed,b2b-1024,1024,encrypt,prep_auth_data,2293,256,1.7863061491495857,2.6290115532734273,6.0859375,0.1643132220795892,0.5678150894025294,0.012211077191452245,0.5713039686000873,CIPHERTEXT
shared-80mhz-probed,b2b-1024,1024,encrypt,poly1305,2293,268,1.8700392498909726,2.717363751584284,5.888059701492537,0.16983523447401774,0.5713039686000873,0.02136938508504143,0.0,FINISH_ITER
shared-80mhz-probed,b2b-1024,1024,encrypt,append_auth_tag,2293,256,1.7863061491495857,16.0,1.0,1.0,0.0,0.8639337112952464,0.0,CIPHERTEXT
shared-80mhz-probed,b2b-1024,1024,decrypt,chacha20,2293,256,1.7863061491495857,6.7479406919275124,2.37109375,0.42174629324546953,0.1530745747928478,0.6977758395115569,0.0,PLAINTEXT
shared-80mhz-probed,b2b-1024,1024,decrypt,prep_auth_data,2293,256,1.7863061491495857,2.045954045954046,7.8203125,0.12787212787212787,0.7614478848669864,0.0867858700392499,0.7583951155691234,CIPHERTEXT
shared-80mhz-probed,b2b-1024,1024,decrypt,poly1305,2293,268,1.8700392498909726,2.136522172396612,7.4888059701492535,0.13353263577478824,0.7583951155691234,0.0867858700392499,0.0,FINISH_ITER
shared-80mhz-probed,b2b-1024,1024,decrypt,strip_auth_tag,2293,260,1.814217182730048,1.886621315192744,8.48076923076923,0.11791383219954649,0.8482337549062364,0.03837767117313563,0.8482337549062364,
shared-80mhz-probed,b2b-1024,1024,decrypt,wait_to_verify,2293,256,1.7863061491495857,16.0,1.0,1.0,0.0,0.888355865678151,0.0,WAIT_TO_VERIFY_BIT
